	P_C2R02	P_bablabjr011	P_donghaensis_HJ51	P_lipolytica_CSB02KR	P_lipolytica_LMEB39	P_N12309	P_CO133X	P_CO302Y	P_OFAV1	P_Ps84H4	P_MEBiC03607	P_APAL1	P_bablabjr004	P_SCSIO43101	P_FE4	P_M1318928	P_Hal040	P_gelatinilytica_NH153	P_porphyrae_MNAD16	P_PA2MD11	P_BZK2	P_MB47	P_bablabjr010	P_Cn537	P_ACER1	P_PAST1	P_SDCH90	P_303	P_shioyasakiensis_BMC4	P_B7P1	P_BZA4	P_shioyasakiensis_28	P_shioyasakiensis_BMC2	P_shioyasakiensis_BMC3	P_shioyasakiensis_BMC5	P_2102	P_2103	P_802	P_D15MCD2	P_shioyasakiensis_M1400201	P_126	P_P18	P_shioyasakiensis_LC2	P_SCSIO43088	P_shioyasakiensis_G21653S1	P_CnMc737	P_CO109Y	P_neustronica_PAMC28425	P_ostereae_hOe125	P_ostereae_hOe124	P_ostereae_hOe66	P_SG415	P_SG436	P_SR456	P_SG418	P_SR416	P_SG437	P_SR445	P_SG412	P_SG441	P_rhizosphaerae_hCg42	P_SR414	P_neustronica_SM1927	P_SG411	P_SR448	P_SG448	P_SG4417	P_SR418	P_2CM36K	P_tetradonis_CSB01KR	P_kknpp56	P_SCSIO	P_SCSIO11900	P_S3173	P_SiA1	P_S3260	P_SK20	P_SK18	P_Scap03	P_scap25	P_scap26	P_undina_NEM01	P_undina_NEM02	P_1161b	P_undina_DSM6065	P_2CM32C	P_ECSMB14103	P_APM04	P_DSM	P_17a	P_1131a	P_125	P_1CM17D	P_agarivorans_DSM14585	P_130	P_P111	P_2CM37A	P_2CM41L	P_agarivorans_S816	P_agarivorans_NW4327	P_S2893	P_espejiana_DSM9414	P_NBRC102222	P_NBRC12985	P_S3178	P_translucida_KMM520	P_KMM661	P_SG445	P_SR454	P_aliena_SW19	P_aliena_EH1	P_SG416	P_SG444	P_SG455	P_fuliginea_KMM216	P_fuliginea_S2292	P_AC163	P_TB25	P_distincta_22A13	P_distincta_KMM3548	P_distincta_16SW7	P_distincta_ATCC700518	P_distincta_LMG14908	P_SG453	P_SG456	P_SG431	P_SG452	P_SG433	P_SR417	P_SG435	P_SG434	P_SR435	P_SR433	P_SR451	P_SR411	P_SG451	P_SR455	P_SR442	P_EKP108	P_SR432	P_SR437	P_SR415	P_SG438	P_SR436	P_arctica_NECBIFX0059	P_EB27	P_arctica_A3712	P_arctica_NECBIFX2020001	P_arctica_NECBIFX2020017	P_tunicata_D2	P_xiamenensis_PSDB	P_spongiae_SAO44	P_spongiae_UST010723006	P_MMG024	P_P19	P_G4	P_piratica_OCN003	P_CO325X	P_SW010604	P_MM172	P_ruthenica_S2756	P_ruthenica_LMG19699	P_ruthenica_S3245	P_CnMc713	P_CnMc715	P_CNC920	P_CNAT218	P_CNAT2181	P_CNAT241	P_aurantia_208	P_citrea_DSM8771	P_citrea_S2231	P_citrea_S2233	P_aurantia_S3790	P_aurantia_S3788	P_aurantia_S3895	P_A25	P_amylolytica_JW1	P_JW3	P_phenolica_S3898	P_phenolica_S1093	P_phenolica_S1189	P_phenolica_KCTC12086	P_phenolica_OBC302	P_BZB3	P_phenolica_S3663	P_SMS1	P_B95	P_P94	P_luteoviolacea_2ta16	P_Of7M16	P_McH142	P_PPB1	P_rubra_DSM6842	P_R96	P_rubra_SCSIO_6842	P_XMcav2N	P_XMcav2N2	P_OOF1S7	P_DL2H22	P_rubra_S2471	P_rubra_S1946	P_viridis_BBR56	P_UG31	P_UG32	P_peptidolytica_F1250A1	P_peptidolytica_DSM14001	P_peptidolytica_NBRC101021	P_McH17	P_SCSIO43201	P_galatheae_S4498	P_M1400202	P_OANN1	P_flavipulchra_S1925	P_NJ631	P_A22	P_flavipulchra_SCSIO43202	P_flavipulchra_NCIMB2033	P_flavipulchra_ATCCBAA314	P_flavipulchra_LMG20361	P_CO342X	P_maricaloris_LMG19692	P_BMB	P_CO348	P_OF7H1	P_HMSA03	P_JC28	P_M8	P_XMcav11Q	P_JC3	P_JC31	P_Of11M6	P_DL2H6	P_DL2H1	P_OF5H5	P_Of5H6
P_espejiana_DSM9414	0.777528	0.797301	0.79947	0.796632	0.797264	0.80074	0.797564	0.797723	0.797157	0.798407	0.797089	0.797945	0.797614	0.798513	0.800149	0.796668	0.800608	0.797815	0.799011	0.7969	0.798066	0.798694	0.796372	0.799246	0.79877	0.798135	0.802387	0.798436	0.798898	0.800447	0.800696	0.800647	0.800275	0.799873	0.799748	0.799198	0.79937	0.79961	0.803385	0.799254	0.798529	0.799183	0.799685	0.803543	0.799123	0.800238	0.79938	0.803676	0.804496	0.805621	0.802656	0.8021	0.802548	0.802746	0.802591	0.802375	0.80199	0.801762	0.802682	0.802115	0.8038	0.802472	0.803448	0.800778	0.801694	0.80221	0.802817	0.80349	0.817947	0.818358	0.818912	0.819785	0.82084	0.814496	0.815918	0.817356	0.816254	0.815597	0.82092	0.821116	0.82092	0.817735	0.817293	0.815847	0.818674	0.833636	0.835109	0.834411	0.835288	0.875363	0.876138	0.874926	0.875723	0.877573	0.875513	0.87577	0.875551	0.876325	0.875263	0.875683	0.875433	1	0.999495	0.880902	0.885076	0.816553	0.818641	0.815961	0.817213	0.824546	0.826656	0.825265	0.825817	0.825738	0.829287	0.829193	0.835398	0.835439	0.835091	0.838023	0.837118	0.83616	0.835957	0.835963	0.836178	0.836798	0.836435	0.835392	0.836	0.836682	0.836235	0.835913	0.83781	0.835545	0.836206	0.835465	0.83516	0.83627	0.838292	0.837433	0.837515	0.838887	0.838782	0.83806	0.832741	0.832511	0.833399	0.831719	0.832106	0.783603	0.790648	0.786028	0.786236	0.785218	0.781982	0.780229	0.785506	0.781079	0.782644	0.781131	0.777497	0.78484	0.779795	0.779406	0.778242	0.780095	0.7809	0.780767	0.780787	0.789718	0.790563	0.785445	0.787667	0.785905	0.78477	0.784417	0.787263	0.789961	0.79021	0.779871	0.780011	0.78012	0.786981	0.784647	0.780066	0.783468	0.783837	0.783114	0.781864	0.781956	0.781548	0.782171	0.782496	0.787549	0.782561	0.786967	0.781297	0.782142	0.781008	0.778619	0.779124	0.777792	0.785804	0.785702	0.784085	0.783282	0.782323	0.781924	0.779988	0.787008	0.783622	0.779044	0.77817	0.779949	0.778098	0.781588	0.784913	0.780775	0.780695	0.777899	0.779381	0.779497	0.77818	0.779685	0.778043	0.778392	0.782235	0.785579	0.779778	0.780538	0.787858	0.780716	0.782097	0.780394	0.781515	0.781336
P_NBRC102222	0.776517	0.795938	0.797673	0.797426	0.79724	0.797723	0.798015	0.798248	0.797018	0.798569	0.797111	0.797984	0.79719	0.796386	0.796939	0.79623	0.797741	0.797305	0.797805	0.796575	0.797422	0.796356	0.795398	0.79804	0.796558	0.796064	0.797145	0.79812	0.798071	0.798084	0.798513	0.797854	0.797713	0.797215	0.797621	0.797423	0.797745	0.797825	0.797956	0.796875	0.797008	0.797851	0.797264	0.798676	0.797636	0.798561	0.79853	0.80287	0.80287	0.803274	0.802696	0.801389	0.801064	0.801738	0.801982	0.80195	0.801176	0.800923	0.801337	0.801088	0.800958	0.801332	0.801655	0.800907	0.800613	0.801882	0.803348	0.804283	0.817853	0.817403	0.817063	0.81734	0.817724	0.813818	0.814814	0.816357	0.8156	0.814864	0.81801	0.816922	0.816973	0.814073	0.813548	0.815624	0.815437	0.83401	0.83431	0.833067	0.834449	0.875921	0.875253	0.874124	0.874055	0.875729	0.875119	0.875869	0.874583	0.876503	0.874781	0.874786	0.874901	0.999988	1	0.88072	0.884152	0.814413	0.815513	0.815088	0.81591	0.823	0.822729	0.825974	0.825082	0.826067	0.82852	0.828938	0.835237	0.835032	0.834839	0.838543	0.835317	0.835851	0.835762	0.835394	0.836462	0.836099	0.835713	0.834905	0.836356	0.835993	0.835357	0.83515	0.836614	0.834651	0.835088	0.835227	0.834181	0.836118	0.83664	0.835328	0.837236	0.836664	0.836673	0.83731	0.831886	0.832225	0.829579	0.832171	0.830876	0.776996	0.783153	0.779248	0.781841	0.782186	0.780174	0.779837	0.779238	0.781644	0.780188	0.780409	0.778258	0.777665	0.780886	0.779468	0.778297	0.780419	0.77957	0.779704	0.779724	0.782921	0.786406	0.783556	0.784107	0.7855	0.784853	0.783651	0.78475	0.784891	0.784923	0.77978	0.783027	0.781434	0.780148	0.7798	0.779047	0.782415	0.781715	0.783206	0.781143	0.781803	0.781191	0.779625	0.779659	0.78142	0.78242	0.780247	0.782991	0.783185	0.779999	0.779608	0.778032	0.777601	0.780581	0.780817	0.780794	0.78158	0.781755	0.781208	0.779424	0.77913	0.780702	0.780355	0.779122	0.780237	0.779533	0.779072	0.780132	0.780008	0.779663	0.779869	0.778734	0.778723	0.778303	0.780204	0.778697	0.778968	0.780586	0.780714	0.77974	0.781067	0.782246	0.780374	0.781791	0.781407	0.781756	0.782359
P_NBRC12985	0.776024	0.797697	0.79675	0.797641	0.795702	0.796181	0.795023	0.795023	0.798341	0.798699	0.796432	0.800512	0.799636	0.79836	0.797495	0.796695	0.797542	0.796497	0.797448	0.795427	0.795442	0.795414	0.797814	0.796722	0.796476	0.796507	0.796663	0.796286	0.796211	0.798406	0.798461	0.795988	0.795891	0.795665	0.79609	0.796336	0.796386	0.796366	0.79901	0.796868	0.798509	0.797565	0.79921	0.798877	0.797912	0.798424	0.797757	0.803752	0.802724	0.803643	0.802948	0.80178	0.802156	0.800214	0.801532	0.802027	0.802272	0.80117	0.802149	0.801935	0.802167	0.801805	0.80217	0.80206	0.801197	0.802057	0.801653	0.800434	0.818938	0.818054	0.816671	0.818397	0.817627	0.81541	0.815546	0.818137	0.814964	0.816101	0.815278	0.815121	0.815579	0.816609	0.817126	0.816631	0.817355	0.841515	0.840358	0.840643	0.841392	0.855483	0.85634	0.856373	0.859273	0.859434	0.859064	0.861618	0.858848	0.858401	0.85976	0.859102	0.859122	0.879531	0.879727	1	0.964641	0.818532	0.820292	0.818433	0.821351	0.830522	0.831878	0.831112	0.832521	0.832535	0.840727	0.841027	0.854856	0.855855	0.85301	0.853647	0.853484	0.854472	0.853942	0.856708	0.856334	0.857416	0.85784	0.857548	0.858456	0.856093	0.85909	0.856885	0.857339	0.857249	0.857485	0.856658	0.855691	0.856033	0.855611	0.856306	0.855481	0.856312	0.856319	0.855757	0.850576	0.853843	0.847569	0.847246	0.846022	0.778428	0.7823	0.781173	0.780275	0.780363	0.780518	0.777107	0.7776	0.777592	0.777599	0.777373	0.77891	0.780565	0.781323	0.778467	0.777885	0.775819	0.777373	0.776484	0.776931	0.784547	0.785165	0.783772	0.783651	0.783948	0.785065	0.783531	0.783446	0.783074	0.783216	0.779273	0.78313	0.780944	0.782885	0.782794	0.778929	0.780639	0.779409	0.780082	0.778326	0.782218	0.78209	0.782583	0.781715	0.781613	0.778852	0.782895	0.778517	0.780259	0.78004	0.779152	0.778739	0.780624	0.781036	0.776507	0.776475	0.779137	0.778752	0.780519	0.779717	0.779932	0.778248	0.778025	0.78162	0.783213	0.783599	0.781949	0.782338	0.780066	0.780593	0.779688	0.780145	0.780521	0.779428	0.781334	0.780679	0.781319	0.780459	0.779347	0.779331	0.77871	0.779469	0.778517	0.783953	0.781901	0.782268	0.782084
P_S3178	0.776834	0.79772	0.797384	0.79769	0.79625	0.796572	0.795783	0.795758	0.795128	0.794996	0.795379	0.796345	0.796546	0.797171	0.797456	0.795767	0.796172	0.794517	0.795794	0.795291	0.795947	0.796488	0.795558	0.795919	0.795063	0.795521	0.797705	0.798396	0.798838	0.79945	0.799199	0.797261	0.797651	0.79763	0.798139	0.797649	0.798136	0.79778	0.797949	0.797172	0.797081	0.798725	0.798587	0.798155	0.797413	0.797983	0.796618	0.802837	0.803648	0.803864	0.802561	0.80127	0.801085	0.800514	0.800498	0.80113	0.80131	0.800746	0.802492	0.80129	0.80178	0.802083	0.802013	0.802682	0.801839	0.801641	0.801709	0.802085	0.818436	0.818377	0.816473	0.816993	0.816648	0.813458	0.814317	0.816913	0.817094	0.816041	0.816123	0.815696	0.816051	0.816448	0.815461	0.816556	0.817306	0.839877	0.840447	0.839709	0.839666	0.854818	0.854249	0.856275	0.855925	0.856146	0.857312	0.857811	0.856495	0.85708	0.857046	0.85754	0.856802	0.883388	0.884294	0.964343	1	0.817966	0.819523	0.819579	0.819798	0.831599	0.832313	0.831908	0.832601	0.832958	0.840438	0.841009	0.852961	0.853881	0.852415	0.854209	0.853199	0.854037	0.853969	0.854181	0.85376	0.853871	0.855373	0.854189	0.85464	0.854145	0.854707	0.8546	0.853893	0.85543	0.853224	0.854392	0.853237	0.85599	0.85395	0.854533	0.853386	0.854176	0.854404	0.854609	0.850384	0.853082	0.847999	0.848322	0.848448	0.778024	0.778855	0.777761	0.778468	0.779012	0.778984	0.773414	0.776772	0.77673	0.776444	0.777037	0.776664	0.775586	0.776329	0.776764	0.775219	0.774549	0.773482	0.773656	0.773223	0.784454	0.785858	0.785112	0.785668	0.78576	0.784555	0.784505	0.781439	0.783357	0.783385	0.779523	0.780858	0.780102	0.781229	0.781731	0.778666	0.780048	0.779703	0.779305	0.780433	0.780477	0.780583	0.779068	0.780411	0.78197	0.781194	0.782236	0.782166	0.782079	0.780888	0.780842	0.779256	0.780719	0.780362	0.782405	0.782912	0.781017	0.780829	0.78101	0.78111	0.781742	0.778489	0.778006	0.781139	0.780503	0.780125	0.779471	0.781403	0.779402	0.780037	0.779791	0.77892	0.779838	0.778878	0.77834	0.778554	0.777476	0.779053	0.779017	0.779724	0.777807	0.779677	0.778994	0.780159	0.779383	0.779218	0.779042
P_translucida_KMM520	0.774189	0.794935	0.79806	0.794114	0.794653	0.797464	0.794772	0.794737	0.793739	0.794111	0.796266	0.794029	0.794775	0.798134	0.797567	0.794083	0.797341	0.79498	0.794364	0.796157	0.79498	0.79569	0.79388	0.794892	0.794373	0.79423	0.797663	0.795461	0.795883	0.793834	0.793782	0.794911	0.794393	0.793813	0.793822	0.793447	0.793898	0.793772	0.797415	0.794613	0.793446	0.79474	0.794007	0.798697	0.793469	0.794012	0.794502	0.801926	0.804886	0.803918	0.801813	0.800728	0.801563	0.802118	0.801681	0.800725	0.801168	0.801718	0.800777	0.801981	0.804143	0.801834	0.80193	0.801478	0.801792	0.800279	0.801958	0.802236	0.814202	0.813808	0.814107	0.817807	0.815924	0.812681	0.815618	0.815401	0.815084	0.813115	0.813722	0.815157	0.814693	0.813932	0.814384	0.812487	0.817278	0.811817	0.811889	0.815375	0.814254	0.813178	0.813312	0.814276	0.816169	0.818703	0.816433	0.816127	0.816029	0.817314	0.816633	0.817841	0.816375	0.818566	0.815258	0.818672	0.820085	1	0.960306	0.9627	0.96338	0.823903	0.825775	0.822332	0.823088	0.822827	0.826678	0.825483	0.826201	0.825518	0.826305	0.827653	0.828426	0.826298	0.825133	0.826532	0.826771	0.825849	0.826287	0.82625	0.82682	0.826381	0.82575	0.826274	0.825683	0.826072	0.82598	0.826321	0.825208	0.826616	0.826368	0.825853	0.825948	0.826289	0.826449	0.826702	0.825521	0.825802	0.830833	0.827189	0.82733	0.782239	0.789813	0.779637	0.781598	0.776667	0.775258	0.773868	0.782205	0.778834	0.777541	0.779048	0.776418	0.783977	0.7775	0.779238	0.776075	0.778716	0.779426	0.777925	0.779127	0.787528	0.785567	0.780072	0.781279	0.781253	0.7815	0.781357	0.790212	0.785515	0.784973	0.77644	0.779855	0.778555	0.783963	0.782252	0.777835	0.778366	0.783836	0.779392	0.780202	0.778588	0.779301	0.779369	0.776595	0.784035	0.782455	0.78957	0.778305	0.778175	0.777725	0.77906	0.776348	0.778103	0.784756	0.786905	0.785379	0.781917	0.779228	0.778991	0.779983	0.788268	0.784443	0.781379	0.780364	0.780097	0.779221	0.787715	0.789157	0.779596	0.781462	0.778055	0.778986	0.780189	0.781382	0.779022	0.780324	0.781192	0.78119	0.787282	0.77899	0.780299	0.789376	0.778933	0.778698	0.779585	0.779165	0.779293
P_KMM661	0.775173	0.795573	0.798338	0.792776	0.795442	0.798525	0.794005	0.794344	0.794077	0.795908	0.798237	0.794566	0.794731	0.800276	0.796658	0.794077	0.795836	0.79585	0.794704	0.79392	0.793871	0.792622	0.793321	0.796436	0.797149	0.796814	0.798961	0.79213	0.792698	0.797504	0.797501	0.794871	0.793876	0.793498	0.794219	0.794089	0.794764	0.794673	0.796706	0.793535	0.796377	0.792245	0.796799	0.799082	0.793905	0.79621	0.795845	0.805185	0.809854	0.809517	0.805505	0.80464	0.80482	0.805075	0.805678	0.805594	0.805338	0.805513	0.805273	0.803928	0.808041	0.806309	0.810785	0.807018	0.805423	0.80391	0.804453	0.804321	0.819456	0.818573	0.817946	0.819748	0.820519	0.81771	0.818015	0.820461	0.826627	0.817986	0.816595	0.817256	0.816998	0.817503	0.816896	0.815654	0.817056	0.812586	0.812488	0.818469	0.816306	0.813388	0.814157	0.812742	0.81656	0.819897	0.815599	0.816482	0.815378	0.817124	0.818285	0.816345	0.816239	0.820213	0.816534	0.818892	0.819826	0.960173	1	0.985681	0.985186	0.823115	0.823374	0.821166	0.822263	0.821872	0.829339	0.829633	0.829868	0.831132	0.826675	0.828199	0.829223	0.827067	0.827336	0.830613	0.829718	0.827518	0.82858	0.828522	0.828054	0.828775	0.827787	0.826167	0.828374	0.827216	0.828285	0.826313	0.827842	0.827192	0.828008	0.827632	0.82696	0.828168	0.828071	0.827164	0.825774	0.825967	0.834618	0.828008	0.828133	0.78709	0.78786	0.782678	0.782937	0.776629	0.775103	0.772566	0.783651	0.775326	0.782961	0.777514	0.775892	0.784139	0.782532	0.778157	0.776634	0.78323	0.780746	0.781399	0.780051	0.783639	0.786457	0.779876	0.782499	0.781057	0.781516	0.780579	0.791639	0.785299	0.785018	0.776162	0.777705	0.778171	0.785471	0.784112	0.778218	0.779615	0.782051	0.779449	0.780096	0.777324	0.777459	0.780417	0.777493	0.783135	0.782254	0.788361	0.779118	0.778734	0.778469	0.776836	0.773426	0.777859	0.786967	0.784409	0.785915	0.782448	0.779476	0.779248	0.780787	0.788899	0.786203	0.778674	0.779085	0.779073	0.778156	0.788794	0.789653	0.781105	0.784068	0.78048	0.78174	0.788849	0.780998	0.77931	0.780595	0.778723	0.780891	0.786156	0.779498	0.780242	0.787578	0.778826	0.783495	0.782287	0.781676	0.781461
P_SG445	0.777015	0.793336	0.794878	0.79322	0.793773	0.792449	0.793121	0.792799	0.791298	0.793009	0.794897	0.79267	0.793522	0.797088	0.795658	0.794651	0.793693	0.794368	0.793079	0.793535	0.793958	0.792901	0.79282	0.793022	0.793596	0.792845	0.795497	0.793989	0.793906	0.794561	0.794788	0.793714	0.793308	0.792501	0.792517	0.792649	0.792332	0.792711	0.793315	0.7926	0.791073	0.79215	0.79177	0.79262	0.792359	0.793453	0.792108	0.804121	0.805029	0.806205	0.804767	0.801419	0.802025	0.802244	0.80214	0.80227	0.801592	0.802347	0.802493	0.802224	0.802853	0.801366	0.803043	0.801257	0.802045	0.801351	0.801205	0.801482	0.817479	0.81705	0.815041	0.816636	0.816161	0.815596	0.815068	0.817022	0.817065	0.816115	0.813317	0.814175	0.814043	0.813313	0.813334	0.812853	0.81496	0.811038	0.813244	0.813158	0.813428	0.813659	0.815459	0.813852	0.815819	0.816429	0.815834	0.815257	0.81596	0.817921	0.817003	0.816775	0.817031	0.817128	0.815795	0.818778	0.819741	0.963523	0.985734	1	0.986625	0.822407	0.822757	0.821837	0.822904	0.822442	0.827627	0.827242	0.826852	0.828312	0.827539	0.828739	0.828031	0.828569	0.828023	0.829116	0.828561	0.827243	0.828112	0.827883	0.827427	0.828702	0.827123	0.827554	0.828363	0.828763	0.827643	0.827124	0.82643	0.828584	0.829295	0.827813	0.82825	0.828758	0.828214	0.828507	0.82643	0.826048	0.83331	0.829466	0.828531	0.779031	0.780374	0.776961	0.777173	0.774595	0.774187	0.77508	0.774047	0.775389	0.776401	0.777181	0.776418	0.777751	0.777947	0.778265	0.776654	0.778056	0.777114	0.775859	0.776786	0.783879	0.783043	0.778572	0.779055	0.783692	0.782828	0.783382	0.783538	0.782876	0.782941	0.776574	0.778292	0.778136	0.779846	0.779525	0.777852	0.777915	0.783945	0.782233	0.782839	0.782521	0.78292	0.783234	0.781959	0.782427	0.782373	0.781796	0.77937	0.778301	0.780374	0.777574	0.776881	0.778824	0.781544	0.77869	0.778902	0.782202	0.782012	0.781141	0.780849	0.782245	0.780446	0.778018	0.782198	0.780556	0.781068	0.782383	0.781003	0.780271	0.781844	0.779632	0.782462	0.781917	0.781249	0.779342	0.7806	0.780464	0.78069	0.781689	0.778886	0.778906	0.78165	0.779359	0.778022	0.778161	0.777928	0.777915
P_SR454	0.777588	0.796306	0.795299	0.795092	0.795239	0.795229	0.793849	0.794019	0.792871	0.794756	0.793603	0.795137	0.795055	0.796885	0.796212	0.795533	0.795211	0.79413	0.794911	0.793574	0.793379	0.792939	0.794516	0.794506	0.795244	0.795064	0.79504	0.792108	0.793037	0.795183	0.79623	0.79293	0.792463	0.79223	0.792484	0.791648	0.792544	0.792219	0.793787	0.793708	0.794502	0.79284	0.794902	0.794082	0.792839	0.792836	0.794618	0.80427	0.80352	0.803182	0.80285	0.802908	0.801518	0.802093	0.802508	0.802263	0.803142	0.803317	0.803654	0.803007	0.802232	0.803502	0.802987	0.803091	0.801909	0.801564	0.801969	0.803816	0.817763	0.817249	0.817822	0.818251	0.817477	0.816217	0.815489	0.818618	0.818292	0.816404	0.813607	0.813357	0.81332	0.813349	0.813473	0.815118	0.814232	0.812955	0.811638	0.815857	0.813751	0.813404	0.816315	0.814736	0.818773	0.81868	0.816138	0.817837	0.817531	0.81866	0.817669	0.817444	0.817532	0.817665	0.817215	0.820685	0.819812	0.962813	0.98538	0.986024	1	0.822693	0.821897	0.822224	0.82236	0.823381	0.826975	0.826232	0.830151	0.830462	0.828899	0.829731	0.830467	0.830463	0.830334	0.829395	0.829478	0.829514	0.83088	0.829721	0.82953	0.829933	0.830335	0.829043	0.829173	0.828201	0.829359	0.82859	0.830523	0.828615	0.829026	0.829016	0.829422	0.828981	0.828465	0.829073	0.827648	0.828509	0.829997	0.829067	0.829017	0.780157	0.781338	0.777043	0.777638	0.777124	0.777708	0.773502	0.775908	0.775199	0.775843	0.776351	0.776477	0.775706	0.777489	0.776661	0.775385	0.777777	0.774655	0.774261	0.774854	0.786302	0.783391	0.780718	0.782192	0.782675	0.783222	0.784204	0.784818	0.783096	0.783675	0.77697	0.776771	0.776136	0.779743	0.78014	0.777511	0.777893	0.779221	0.779468	0.779342	0.780214	0.779787	0.777475	0.778234	0.783583	0.781667	0.78094	0.779681	0.778855	0.777917	0.774813	0.774777	0.779808	0.779509	0.778944	0.778923	0.780816	0.78099	0.780903	0.779326	0.780362	0.782325	0.781079	0.780024	0.781698	0.781017	0.78328	0.781978	0.780318	0.780431	0.780102	0.781638	0.782069	0.782212	0.779493	0.781815	0.782288	0.782993	0.781475	0.781375	0.780095	0.782822	0.779383	0.78081	0.781082	0.780807	0.780121
P_aliena_SW19	0.775466	0.794932	0.795569	0.794263	0.794568	0.796469	0.794677	0.794435	0.793644	0.791912	0.793263	0.792242	0.792538	0.794066	0.793834	0.792653	0.794954	0.793611	0.794875	0.794226	0.792683	0.79366	0.793578	0.793973	0.793515	0.793177	0.795397	0.793206	0.793239	0.793539	0.79398	0.79379	0.793462	0.793568	0.793218	0.793856	0.793999	0.793636	0.794429	0.7943	0.792906	0.793302	0.793092	0.794948	0.794254	0.793181	0.79285	0.812039	0.806852	0.806825	0.804963	0.803342	0.804136	0.803375	0.802225	0.802556	0.804228	0.802492	0.803778	0.804596	0.807733	0.806348	0.805733	0.803983	0.803824	0.803691	0.803777	0.802537	0.81379	0.814176	0.813453	0.813818	0.814654	0.811198	0.812866	0.813275	0.812834	0.814234	0.813144	0.81372	0.813662	0.811493	0.810631	0.810993	0.813095	0.822973	0.821015	0.822527	0.821595	0.819469	0.820889	0.820366	0.821317	0.822148	0.820999	0.822079	0.821743	0.821481	0.822332	0.821375	0.820286	0.824944	0.823788	0.833321	0.833093	0.824607	0.825127	0.823723	0.824917	1	0.971884	0.971021	0.971214	0.970893	0.880911	0.880157	0.870645	0.869447	0.871111	0.872093	0.870709	0.872063	0.871542	0.870866	0.870263	0.870376	0.871336	0.870559	0.870243	0.872365	0.872235	0.871492	0.872383	0.870739	0.870121	0.871872	0.868213	0.870532	0.870686	0.871023	0.870547	0.87004	0.870244	0.870149	0.871661	0.871286	0.876093	0.876532	0.874708	0.782042	0.782216	0.778564	0.780183	0.777672	0.775039	0.777226	0.776097	0.774673	0.777071	0.777322	0.776639	0.77957	0.775931	0.777713	0.775411	0.776925	0.776511	0.775652	0.775959	0.783476	0.785856	0.78018	0.780515	0.779065	0.778055	0.779137	0.784293	0.78643	0.786853	0.778722	0.780688	0.780758	0.779929	0.781594	0.777092	0.777299	0.781998	0.77605	0.778817	0.779666	0.779128	0.779864	0.776707	0.782654	0.779113	0.781787	0.776755	0.776798	0.777537	0.776344	0.774856	0.775791	0.783504	0.77862	0.777488	0.778556	0.77693	0.777001	0.77611	0.780327	0.781385	0.777961	0.778449	0.778662	0.778437	0.784501	0.783718	0.781357	0.7814	0.780306	0.780471	0.780583	0.779145	0.778946	0.779082	0.780668	0.781957	0.783803	0.780505	0.778465	0.782891	0.77905	0.778667	0.779441	0.779018	0.77899
P_aliena_EH1	0.775953	0.794962	0.797997	0.794256	0.795897	0.795375	0.791603	0.791505	0.795056	0.793923	0.796116	0.795486	0.794886	0.796837	0.796619	0.794286	0.79898	0.795885	0.794944	0.793852	0.793591	0.794019	0.79354	0.794201	0.795469	0.793894	0.797325	0.79319	0.794189	0.793137	0.793652	0.794198	0.794158	0.794151	0.793594	0.793478	0.794015	0.794099	0.79661	0.796041	0.793949	0.794549	0.793539	0.796384	0.793003	0.792932	0.79398	0.81129	0.809616	0.807722	0.805001	0.804483	0.805711	0.805094	0.803708	0.803466	0.806033	0.804959	0.804926	0.804248	0.807407	0.805926	0.805826	0.804483	0.803208	0.803502	0.803063	0.80374	0.813682	0.814164	0.813549	0.815169	0.816073	0.811639	0.814391	0.81471	0.812952	0.813629	0.814682	0.815657	0.814704	0.814844	0.81424	0.812724	0.815917	0.823211	0.823265	0.825378	0.824842	0.819273	0.819734	0.819729	0.822192	0.824389	0.822268	0.822046	0.822502	0.821553	0.822054	0.822281	0.82175	0.828183	0.823857	0.833302	0.833256	0.825697	0.826508	0.822718	0.824437	0.972281	1	0.973354	0.974109	0.974355	0.883027	0.882917	0.872056	0.871176	0.874748	0.875541	0.875517	0.875307	0.875346	0.874549	0.874358	0.873724	0.874188	0.874791	0.873409	0.875274	0.875139	0.875236	0.875328	0.873762	0.873989	0.874161	0.872637	0.87376	0.873945	0.875584	0.874233	0.873483	0.873572	0.873416	0.874034	0.874387	0.878389	0.878125	0.87758	0.785218	0.781845	0.780289	0.78222	0.775975	0.776977	0.776969	0.788239	0.777778	0.776772	0.778982	0.775352	0.785965	0.775582	0.777573	0.775673	0.776466	0.776583	0.776395	0.776361	0.783388	0.784184	0.779545	0.779477	0.780173	0.780564	0.781117	0.784311	0.786409	0.786114	0.776026	0.779361	0.778402	0.78551	0.783434	0.778333	0.778362	0.781201	0.77856	0.780644	0.780035	0.780009	0.778946	0.777426	0.784956	0.779272	0.788737	0.77957	0.779916	0.779247	0.780605	0.778685	0.778722	0.791622	0.786451	0.786716	0.780684	0.779409	0.778141	0.77781	0.786319	0.783302	0.777127	0.776976	0.777744	0.777876	0.785684	0.78654	0.779138	0.780409	0.778253	0.778409	0.779144	0.778613	0.778074	0.778434	0.778832	0.779815	0.784027	0.778763	0.777728	0.784914	0.77594	0.77808	0.778965	0.777873	0.777973
