Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
P_SR436	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.21	0.00	4348673	800	58	66	293996	213298	74977	65876	1165212	576057	39.2	3.60	88.52	11	3847	0	750	2	0	0	0
P_SR437	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.37	0.00	4417730	700	74	81	149320	129954	59699	54531	294180	294180	39.2	2.56	88.22	11	3934	0	749	3	0	0	0
P_SR442	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.21	0.00	4472343	800	102	110	115496	100564	43846	40650	312508	312508	39.2	2.80	88.23	11	3943	0	750	2	0	0	0
P_SR445	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.74	0.00	5174529	1000	255	265	79344	78556	20292	19522	273578	236302	40.3	2.64	87.77	11	4622	0	746	6	0	0	0
P_SR448	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4938664	1500	135	150	103408	102495	36582	32914	211686	204023	40.4	2.34	87.88	11	4250	0	750	2	0	0	0
P_SR451	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.64	0.00	4445813	800	68	76	219769	175947	65379	58487	527233	527233	39.1	3.05	88.15	11	3937	0	747	5	0	0	0
P_SR454	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.58	0.00	3977048	1500	152	167	84641	68126	26164	23805	261250	261250	39.8	2.02	87.07	11	3603	0	743	9	0	0	0
P_SR455	c__Gammaproteobacteria (UID4787)	26	752	296	96.85	1.37	40.00	4324853	0	1035	1035	6081	6081	4178	4178	38723	38723	39.3	2.36	89.21	11	4247	18	724	10	0	0	0
P_SR456	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.86	0.00	5102769	1000	260	270	67182	67182	19626	18895	272879	272879	40.4	2.71	88.09	11	4578	0	745	6	1	0	0
P_SW010604	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.30	0.00	4052294	0	30	30	219576	219576	135076	135076	620074	620074	47.3	1.09	90.69	11	3699	1	748	3	0	0	0
P_Scap03	c__Gammaproteobacteria (UID4787)	26	752	296	98.96	0.84	0.00	4132359	0	4	4	3339419	3339419	1033089	1033089	3339419	3339419	40.0	0.58	87.70	11	3701	6	741	5	0	0	0
P_SiA1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	4070638	0	2	2	3355071	3355071	2035319	2035319	3355071	3355071	40.3	0.38	88.03	11	3601	0	750	2	0	0	0
P_TB25	c__Gammaproteobacteria (UID4787)	26	752	296	98.67	0.95	0.00	4648658	347	458	464	20042	20025	10149	10017	125483	125475	39.2	2.37	87.86	11	4546	10	736	6	0	0	0
P_UG31	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.84	83.33	4211740	0	2	2	3366066	3366066	2105870	2105870	3366066	3366066	45.5	0.21	87.40	11	3608	0	746	6	0	0	0
P_UG32	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4162065	0	2	2	3349174	3349174	2081032	2081032	3349174	3349174	45.5	0.23	87.39	11	3552	0	751	1	0	0	0
P_XMcav11Q	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.84	0.00	5485571	0	42	42	303753	303753	130608	130608	751869	751869	43.1	2.98	88.47	11	4686	1	748	2	1	0	0
P_XMcav2N	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.51	0.00	5703353	0	44	44	269281	269281	129621	129621	737503	737503	47.8	3.00	88.68	11	4832	0	750	2	0	0	0
P_XMcav2N2	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.51	0.00	5700089	0	40	40	330395	330395	142502	142502	517428	517428	47.8	3.11	88.70	11	4822	0	750	2	0	0	0
P_agarivorans_DSM14585	c__Gammaproteobacteria (UID4787)	26	752	296	99.44	0.51	0.00	4544962	0	2	2	3701940	3701940	2272481	2272481	3701940	3701940	40.8	0.36	87.67	11	4012	4	745	2	1	0	0
P_agarivorans_NW4327	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	4.16	93.94	4482415	0	129	129	173396	173396	34747	34747	489475	489475	40.9	1.48	88.06	11	3975	0	740	8	1	2	1
P_agarivorans_S816	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	4424254	0	133	133	88022	88022	33265	33265	352635	352635	40.9	2.31	88.11	11	4067	0	750	2	0	0	0
P_aliena_EH1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.22	66.67	4594697	0	1	1	4594697	4594697	4594697	4594697	4594697	4594697	39.1	0.00	85.64	11	3986	0	746	6	0	0	0
P_aliena_SW19	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.22	0.00	4493055	0	29	29	529276	529276	154932	154932	1279857	1279857	39.0	3.70	86.21	11	3926	0	750	2	0	0	0
P_amylolytica_JW1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.56	0.00	4856394	554	38	49	387647	281074	127799	99098	1015287	1015287	43.3	2.64	89.42	11	4190	0	748	4	0	0	0
P_arctica_A3712	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.51	50.00	4721971	0	3	3	3840834	3840834	1573990	1573990	3840834	3840834	39.2	0.43	86.97	11	4165	0	750	2	0	0	0
P_arctica_NECBIFX0059	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4445462	0	29	29	715146	715146	153291	153291	1033732	1033732	39.0	3.46	88.32	11	3874	0	751	1	0	0	0
P_arctica_NECBIFX2020001	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4471498	0	29	29	347613	347613	154189	154189	670746	670746	39.0	3.62	88.11	11	3908	0	751	1	0	0	0
P_arctica_NECBIFX2020017	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4422647	0	34	34	358881	358881	130077	130077	538972	538972	39.1	3.27	88.04	11	3887	0	751	1	0	0	0
P_aurantia_208	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	0.45	0.00	5602374	0	15	15	1267804	1267804	373491	373491	2589228	2589228	40.8	2.50	87.65	11	4644	1	748	3	0	0	0
P_aurantia_S3788	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.37	0.00	4764420	0	270	270	63045	63045	17646	17646	164985	164985	41.0	2.48	87.37	11	4194	0	749	3	0	0	0
P_aurantia_S3790	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.97	0.00	4845069	0	280	280	74180	74180	17303	17303	193405	193405	41.1	2.50	87.50	11	4283	0	746	6	0	0	0
P_aurantia_S3895	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.74	50.00	4834823	0	319	319	55499	55499	15156	15156	196601	196601	41.0	2.50	87.16	11	4301	0	748	4	0	0	0
P_bablabjr004	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.32	0.00	4541661	0	156	156	170756	170756	29113	29113	550789	550789	40.8	2.53	89.33	11	4040	0	748	4	0	0	0
P_bablabjr010	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.47	0.00	4873506	0	210	210	103769	103769	23207	23207	439453	439453	41.0	2.92	89.35	11	4453	0	746	6	0	0	0
P_bablabjr011	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.57	0.00	4929473	0	341	341	63408	63408	14455	14455	166120	166120	41.6	3.49	88.46	11	4474	0	748	3	1	0	0
P_citrea_DSM8771	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.17	0.00	5434598	0	27	27	732536	732536	201281	201281	1164454	1164454	41.2	2.19	88.33	11	4579	1	750	1	0	0	0
P_citrea_S2231	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.63	0.00	5334082	0	436	436	62248	62248	12234	12234	254507	254507	41.4	2.21	87.90	11	4658	1	745	5	1	0	0
P_citrea_S2233	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.75	0.00	5325063	0	288	288	74450	74450	18489	18489	355793	355793	41.4	2.17	88.02	11	4589	1	746	5	0	0	0
P_distincta_16SW7	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.51	0.00	4531445	0	2	2	3735685	3735685	2265722	2265722	3735685	3735685	39.3	0.36	87.51	11	3925	0	750	2	0	0	0
P_distincta_22A13	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.51	0.00	4392370	0	115	115	141399	141399	38194	38194	440098	440098	39.1	2.69	88.27	11	3948	0	750	2	0	0	0
P_distincta_ATCC700518	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4532748	35	32	33	240818	231890	141648	137354	916460	717990	39.2	0.59	87.79	11	3984	0	751	1	0	0	0
P_distincta_KMM3548	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	0.17	0.00	4322351	0	22	22	759891	759891	196470	196470	787813	787813	39.2	5.14	87.89	11	3841	1	750	1	0	0	0
P_distincta_LMG14908	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	4485450	600	37	43	243696	239112	121228	104298	656934	367767	39.2	3.56	87.92	11	3951	0	751	1	0	0	0
P_donghaensis_HJ51	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.86	0.00	4733916	0	3	3	3646857	3646857	1577972	1577972	3646857	3646857	41.6	0.75	88.80	11	4087	0	744	8	0	0	0
P_espejiana_DSM9414	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.34	0.00	4500451	0	2	2	3720756	3720756	2250225	2250225	3720756	3720756	40.3	0.35	88.16	11	3970	0	750	2	0	0	0
P_flavipulchra_ATCCBAA314	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	1.75	72.73	5454522	0	25	25	432754	432754	218180	218180	816400	816400	43.3	2.75	88.77	11	4715	1	740	11	0	0	0
P_flavipulchra_LMG20361	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.89	0.00	5398346	0	88	88	337863	337863	61344	61344	460052	460052	43.2	4.62	88.77	11	4725	1	745	6	0	0	0
P_flavipulchra_NCIMB2033	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.90	50.00	5441065	0	10	10	948187	948187	544106	544106	1858647	1858647	43.3	1.04	88.74	11	4732	1	745	6	0	0	0
P_flavipulchra_S1925	c__Gammaproteobacteria (UID4787)	26	752	296	99.86	1.58	16.67	5426994	0	348	348	122482	122482	15594	15594	350280	350280	43.4	3.31	88.97	11	4830	2	744	6	0	0	0
P_flavipulchra_SCSIO43202	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.56	0.00	5416459	0	2	2	4113663	4113663	2708229	2708229	4113663	4113663	43.4	0.48	88.21	11	4634	0	749	3	0	0	0
P_fuliginea_KMM216	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.77	0.00	4766895	0	314	314	65638	65638	15181	15181	205476	205476	38.9	1.86	87.21	11	4239	0	747	5	0	0	0
P_fuliginea_S2292	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.77	0.00	4733663	0	281	281	59763	59763	16845	16845	166005	166005	38.9	2.00	87.35	11	4173	0	747	5	0	0	0
P_galatheae_S4498	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.38	0.00	5366397	0	9	9	4061465	4061465	596266	596266	4061465	4061465	43.0	5.66	87.77	11	4668	1	747	4	0	0	0
P_gelatinilytica_NH153	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.43	0.00	4797622	1128	23	35	409412	309767	208592	137042	931515	742774	41.4	2.63	89.63	11	4248	0	746	6	0	0	0
P_kknpp56	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.69	87.50	3726361	0	115	115	69903	69903	32403	32403	174027	174027	40.3	1.41	87.19	11	3458	0	744	8	0	0	0
P_lipolytica_CSB02KR	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.23	0.00	4387864	694	49	58	234255	194434	89548	75640	726296	431504	41.5	3.56	89.69	11	3844	0	750	2	0	0	0
P_lipolytica_LMEB39	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.31	33.33	4570506	0	36	36	625411	625411	126958	126958	1143391	1143391	41.5	4.62	89.45	11	3996	1	748	3	0	0	0
P_luteoviolacea_2ta16	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	6364400	2	137	137	173678	173678	46455	46455	567859	567859	42.3	2.27	87.37	11	5378	0	751	1	0	0	0
P_maricaloris_LMG19692	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.46	0.00	5584065	0	116	116	266291	266291	48138	48138	762435	762435	43.1	3.82	88.71	11	4908	1	747	3	1	0	0
P_neustronica_PAMC28425	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.84	0.00	4972584	0	66	66	313432	313432	75342	75342	729172	729172	39.7	3.55	87.53	11	4367	0	748	4	0	0	0
P_neustronica_SM1927	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.75	0.00	5294841	197	66	68	215231	180472	80224	77862	386689	386689	40.4	2.80	88.28	11	4620	0	746	6	0	0	0
P_ostereae_hOe124	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.45	9.09	4735317	0	2	2	3834397	3834397	2367658	2367658	3834397	3834397	40.4	0.29	87.28	11	4106	1	740	11	0	0	0
P_ostereae_hOe125	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.45	9.09	4732895	0	2	2	3831966	3831966	2366447	2366447	3831966	3831966	40.4	0.29	87.29	11	4102	1	740	11	0	0	0
P_ostereae_hOe66	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.45	9.09	4643030	0	101	101	181424	181424	45970	45970	325143	325143	40.3	2.98	88.25	11	4087	1	740	11	0	0	0
P_peptidolytica_DSM14001	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.51	0.00	5123242	0	122	122	128830	128830	41993	41993	279912	279912	42.4	2.42	86.79	11	4325	0	742	9	1	0	0
P_peptidolytica_F1250A1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.46	0.00	5183489	0	34	34	754289	754289	152455	152455	1309995	1309995	42.5	1.60	87.01	11	4380	0	743	8	1	0	0
P_peptidolytica_NBRC101021	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.46	0.00	5036479	0	313	313	27530	27530	16090	16090	108028	108028	42.4	1.99	87.99	11	4342	0	743	8	1	0	0
P_phenolica_KCTC12086	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.01	20.00	4868993	0	2	2	3845520	3845520	2434496	2434496	3845520	3845520	40.6	0.57	88.36	11	4217	1	748	2	1	0	0
P_phenolica_OBC302	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	1.01	20.00	4852163	0	8	8	1007183	1007183	606520	606520	1297686	1297686	40.5	1.28	88.66	11	4229	1	748	2	1	0	0
P_phenolica_S1093	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.79	0.00	4566614	0	164	164	117384	117384	27845	27845	365908	365908	40.4	2.39	88.62	11	4087	0	748	4	0	0	0
P_phenolica_S1189	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	3.01	19.23	4685668	0	489	489	118865	118865	9582	9582	311770	311770	40.4	2.52	88.71	11	4465	0	728	23	1	0	0
P_phenolica_S3663	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	0.70	0.00	4682891	0	97	97	165376	165376	48277	48277	496170	496170	40.9	2.69	89.67	11	4118	1	747	4	0	0	0
P_phenolica_S3898	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.05	0.00	4627838	0	221	221	63662	63662	20940	20940	227994	227994	40.3	2.56	88.71	11	4218	0	745	6	1	0	0
P_piratica_OCN003	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.61	50.00	4815987	0	2	2	3197498	3197498	2407993	2407993	3197498	3197498	40.0	0.34	89.82	11	4345	0	687	6	0	0	0
P_porphyrae_MNAD16	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.59	0.00	4586663	108	24	25	866707	866707	191110	183462	1981080	1981079	41.4	3.12	89.98	11	4045	0	748	4	0	0	0
P_rhizosphaerae_hCg42	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.63	83.46	5358982	0	3	3	5331188	5331188	1786327	1786327	5331188	5331188	40.5	1.21	87.25	11	4600	0	744	7	0	0	1
P_rubra_DSM6842	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	1.28	93.33	6143755	0	44	44	574146	574146	139630	139630	1388597	1388597	47.8	3.09	87.69	11	5136	1	740	9	2	0	0
P_rubra_S1946	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.22	33.33	5616038	0	195	195	111037	111037	28800	28800	255131	255131	49.1	3.52	89.14	11	4706	1	748	3	0	0	0
P_rubra_S2471	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.60	0.00	5760706	0	165	165	130408	130408	34913	34913	332381	332381	48.9	3.96	88.58	11	4893	1	747	4	0	0	0
P_rubra_SCSIO_6842	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.48	0.00	5913780	0	3	3	4532889	4532889	1971260	1971260	4532889	4532889	47.7	3.11	87.59	11	4963	1	748	2	1	0	0
P_ruthenica_LMG19699	c__Gammaproteobacteria (UID4787)	26	752	296	99.70	1.91	50.00	4117705	0	2	2	3269379	3269379	2058852	2058852	3269379	3269379	47.5	0.05	89.93	11	3792	3	741	8	0	0	0
P_ruthenica_S2756	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.28	0.00	3962600	0	68	68	153365	153365	58273	58273	303726	303726	47.5	2.05	90.63	11	3644	0	691	2	0	0	0
P_ruthenica_S3245	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	2.77	11.11	4233197	0	343	343	230660	230660	12341	12341	421952	421952	47.2	2.12	90.36	11	4133	0	727	24	1	0	0
P_scap25	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.72	0.00	4131315	0	2	2	3380429	3380429	2065657	2065657	3380429	3380429	40.0	0.39	88.02	11	3664	0	748	4	0	0	0
P_scap26	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.72	0.00	4132063	0	2	2	3381174	3381174	2066031	2066031	3381174	3381174	40.0	0.39	88.01	11	3664	0	748	4	0	0	0
P_shioyasakiensis_28	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.29	0.00	4506201	16	17	17	419182	419182	265070	265069	1203186	1203186	41.3	0.65	89.55	11	3981	0	748	4	0	0	0
P_shioyasakiensis_BMC2	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.66	0.00	4723202	397	116	120	356239	233395	40717	39356	1047731	715531	41.2	3.47	89.62	11	4267	0	742	10	0	0	0
P_shioyasakiensis_BMC3	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	1.02	0.00	4778331	390	222	226	346736	177210	21524	21141	701116	597589	41.2	3.55	89.52	11	4385	0	741	11	0	0	0
P_shioyasakiensis_BMC4	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.68	0.00	4940092	98	202	203	124703	124703	24455	24334	580308	580308	41.1	2.60	89.02	11	4544	0	745	6	1	0	0
P_shioyasakiensis_BMC5	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.43	0.00	4720321	492	109	114	356234	177210	43305	41402	1051766	715530	41.2	3.52	89.61	11	4253	0	746	6	0	0	0
P_shioyasakiensis_G21653S1	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.93	0.00	4564730	0	128	128	157243	157243	35661	35661	446642	446642	41.4	3.12	89.74	11	4129	0	746	6	0	0	0
P_shioyasakiensis_LC2	c__Gammaproteobacteria (UID4787)	26	752	296	99.95	0.84	0.00	4693521	0	45	45	848348	848348	104300	104300	901888	901888	41.2	3.26	89.70	11	4175	1	743	8	0	0	0
P_shioyasakiensis_M1400201	c__Gammaproteobacteria (UID4787)	26	752	296	99.66	0.77	0.00	4746171	140	321	322	26879	26879	14785	14739	163638	163638	41.1	2.82	89.46	11	4273	1	741	10	0	0	0
P_spongiae_SAO44	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	1.63	27.27	5099119	0	3	3	3282406	3282406	1699706	1699706	3282406	3282406	40.7	2.25	88.77	11	4642	0	682	11	0	0	0
P_spongiae_UST010723006	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.47	0.00	4752413	0	2	2	3154175	3154175	2376206	2376206	3154175	3154175	40.9	0.26	89.02	11	4228	0	689	4	0	0	0
P_tetradonis_CSB01KR	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.17	0.00	3675392	1388	49	75	196947	127656	75008	48986	816461	505639	40.3	2.43	87.40	11	3367	0	751	1	0	0	0
P_translucida_KMM520	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.87	0.00	4147593	0	2	2	3390388	3390388	2073796	2073796	3390388	3390388	40.1	0.34	87.23	11	3676	0	747	5	0	0	0
P_tunicata_D2	c__Gammaproteobacteria (UID4761)	52	693	297	100.00	0.28	0.00	4959443	0	2	2	3978968	3978968	2479721	2479721	3978968	3978968	39.9	0.24	87.18	11	4222	0	691	2	0	0	0
P_undina_DSM6065	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.51	33.33	4027610	0	4	4	2487699	2487699	1006902	1006902	2487699	2487699	40.0	0.41	88.61	11	3573	0	749	3	0	0	0
P_undina_NEM01	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.42	0.00	4108019	0	2	2	3320003	3320003	2054009	2054009	3320003	3320003	40.0	0.42	88.35	11	3657	0	749	3	0	0	0
P_undina_NEM02	c__Gammaproteobacteria (UID4787)	26	752	296	100.00	0.42	0.00	4107746	0	2	2	3319730	3319730	2053873	2053873	3319730	3319730	40.0	0.42	88.36	11	3657	0	749	3	0	0	0
P_viridis_BBR56	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.33	0.00	5549631	0	2	2	4248240	4248240	2774815	2774815	4248240	4248240	49.3	0.30	87.92	11	4632	1	747	4	0	0	0
P_xiamenensis_PSDB	c__Gammaproteobacteria (UID4787)	26	752	296	99.89	0.62	33.33	4598500	0	2	2	3679588	3679588	2299250	2299250	3679588	3679588	43.3	0.32	88.54	11	4171	1	748	3	0	0	0
